Name;Price;Sale;Info;Size;Type;image
BLACK C STRING;€9,90;;C String is made with great care to the best comfort wearing for customers. C string is a kind of sexual thong with C shape cover in front and a string back. This C String with crafted made of careful edge seam. ;ONE;Sexy Strings;http://s22.postimg.org/wpxynuvvl/BLACK_C_STRING_9_90.jpg
BLACK LEVEL - LACK BH, STRING UND STRAPS;€40,80;;;S ;Sexy Strings;http://s22.postimg.org/levazhp0h/BLACK_LEVEL_LACK_BH_STRING_UND_STRAPS_40_80.jpg
CHILI-STRING;€9,90;;Material: 80% nylon, 20% elastane. Colour:Black;S-L;Sexy Strings;http://s22.postimg.org/yx27bs15t/CHILI_STRING_9_90.jpg
CORSET KITTEN BLACK S/L;€35,90;;This 2-piece set consists of a wet look, strapless bustier and a G-string. The bustier has a full zipper and is finished with a ruffle. Color: Black. Material: 85% Polyester, 15% Elastane;S/L;Sexy Strings;http://s22.postimg.org/j2nb1wcf5/CORSET_KITTEN_BLACK_S_L_35_90.jpg
CORSET KITTEN BLACK S/L + STRINGS AND NIPPLE PASTIES;€36,90;;This 3-piece set includes a corset, G-string and nipple pasties. The wet look corset is worn under the breasts and has strategically placed seams.  Color: Black. Material: 85% Polyester, 15% Elastane.;S/L;Sexy Strings;http://s22.postimg.org/iolz2asbl/CORSET_KITTEN_BLACK_S_L_STRINGS_AND_NIPPLE_PAS.jpg
CROTCHLESS SATIN THONG W. KEYHOLE M/L;€19,90;;Crotchless Satin Thong with Keyhole. ;M/L;Sexy Strings;http://s22.postimg.org/sxeg84gdd/CROTCHLESS_SATIN_THONG_W_KEYHOLE_M_L_19_90.jpg
"CROTCHLESS THONG ""NEON CORAL "" S - XXXL";€19,90;;Open CROTCH G-string with ruffled back and satin bow detail.  Material: 95% polyester + 5% spandex ;S/M|L/XL|XXL/XXXL;Sexy Strings;http://s22.postimg.org/xoix3vyld/CROTCHLESS_THONG_NEON_CORAL_S_XXXL_19_90.jpg
FRENCH MAID G-STRING;€8,90;;Wiced nurse G-string with open crotch. Material: 100% Polyester;S-L;Sexy Strings;http://s22.postimg.org/8wjawnhep/FRENCH_MAID_G_STRING_8_90.jpg
"G-STRING ""LEOPARD""";€5,90;;Leopard print thong with a pink lace trim. Material: Acrylic + Spandex;S-L ;Sexy Strings;http://s22.postimg.org/chf6fvly9/G_STRING_LEOPARD_5_90.jpg
JULIA OUVERT STRING, XL JA XXL;€19,90;;Sexy strings by Besired Julia . Color: black. Material: 50% polyamid, 40% polyester, 10% elasthan.;XL/XXL;Sexy Strings;http://s22.postimg.org/4xhi033dt/JULIA_OUVERT_STRING_XL_JA_XXL_19_90.jpg
LACE MESH GARTERS WITH G-STRING;€12,90;€8,90;Material : 92%Nylon+8% Spandex . Stockings sold separately. ;S-L ;Sexy Strings;http://s22.postimg.org/xflcdylsx/LACE_MESH_GARTERS_WITH_G_STRING_12_90.jpg
LACE SATIN GARTER SKIRT WITH ATTACHED G-STRING;€8,90;;Very exotic satin garter skirt enhanced with lace trim. It’s very sensual with the attached g-string which could be worn independent in the sexy private time, and it also could be matched with other sexy clothes as spicy addition. ;S-L;Sexy Strings;http://s22.postimg.org/ixo55yuht/LACE_SATIN_GARTER_SKIRT_WITH_ATTACHED_G_STRING_8.jpg
LACE THONG PURPLE S/M;€9,00;;Luxurious Lace! Sexy deep V-cut crotchless thong features Hustler logo flocking & sexy satin bow. ;S/M;Sexy Strings;http://s22.postimg.org/3q85lm2n5/LACE_THONG_PURPLE_S_M_9_00.jpg
LEOPARD C STRING;€9,95;;C String is made with great care to the best comfort wearing for customers. C string is a kind of sexual thong with C shape cover in front and a string back. This C String with crafted made of careful edge seam. ;ONE;Sexy Strings;http://s22.postimg.org/s0h7qqjmp/LEOPARD_C_STRING_9_90.jpg
PEARL NECKLACE BRA & G-STRING SET;€29,90;;Pearl Necklace Bra & G-String Set . Material: 95% Nylon, 5% Spandex;ONE;Sexy Strings;http://s22.postimg.org/aj8ihvtgh/PEARL_NECKLACE_BRA_G_STRING_SET_29_90.jpg
PINK ESPETACULO THONG;€13,90;;Pink Espetaculo Thong. One size. Material : Acrylic+ Spandex ;ONE;Sexy Strings;http://s22.postimg.org/5w2gg463l/PINK_ESPETACULO_THONG_13_90.jpg
ROSE BRIEFS RED S-L;€5,50;;Turn this rose into panties! She will be delighted about this rose, as it unfolds into gorgeous crotchless panties made of pure silk. Colour: red. 100% Silk.;S-L ;Sexy Strings;http://s22.postimg.org/4wc5keqxt/ROSE_BRIEFS_BLACK_S_L_5_50.jpg
ROSE BRIEFS, BLACK S-L;€5,50;;The perfect present! Women love to get beautiful roses. And this is a special one, because once opened, it unfolds into wonderful panties made of pure black silk.  100% silk.;S-L ;Sexy Strings;http://s22.postimg.org/5adhk0b1d/ROSE_BRIEFS_RED_S_L_5_50.jpg
ROSENRIO, RED S-L;€4,95;;A sweet present a stylish rose! Red thong with sophisticated embroidery in the front inspired by rose flowers. It comes in form of a sweet rose, whose blossom turns into the thong. 80% polyamide, 20% spandex. ;ONE;Sexy Strings;http://s22.postimg.org/vy4hg56g1/ROSENRIO_RED_S_L_4_95.jpg
ROTCHLESS LACE V-THONG - PURPLE;€13,90;;Crotchless Lace V-Thong . Material: 85% Polyester/, 5% Spandex ;S/M| M/L;Sexy Strings;http://s22.postimg.org/n5nisglb5/ROTCHLESS_LACE_V_THONG_PURPLE_13_90.jpg
SATIN CROTCHLESS THONG WITH RUFFLE AND GARTER;€13,90;;Sumptuous Satin Crotchless Thong with Ruffle and Garter, made from the finest quality soft stretchy fabric. Features satin fabric with a lustrous finish, open crotch design, delicate ruffle trim and adjustable attached garters. Material : 100%Polyester. Color pink/black.;ONE;Sexy Strings;http://s22.postimg.org/y92jkbh7l/SATIN_CROTCHLESS_THONG_WITH_RUFFLE_AND_GARTER_13.jpg
SEXY BLACK THONG;€12,90;;"Material : Acrylic+ Spandex . Color black
. Gorgeous Lace Thong with Two Large Bijous on the Front. .";ONE;Sexy Strings;http://s22.postimg.org/4ot41n5cx/SEXY_BLACK_THONG_12_90.jpg
SEXY G-STRINGS WITH TIE;€4,90;;Sexy G-strings with Tie. One size. Black, Pink, Purple, Skyblue colours.;ONE;Sexy Strings;http://s22.postimg.org/b6c0l5fq9/SEXY_G_STRINGS_WITH_TIE_4_90.jpg
SEXY PEARL BOTTOM G-STRING;€8,95;;"Sexy Pearl Bottom G-string . Color: black
Material: acrylic & spandex";S-L ;Sexy Strings;http://s22.postimg.org/ua5c1hskh/SEXY_PEARL_BOTTOM_G_STRING_8_95.jpg
SEXY STRING WITH SUSPENDERS LINGERIE;€12,90;€8,90;Black, red, white colours. Seductive string from precious lace with sewed on, moving suspenders! With sweet satin-bows at the front side! Made by sheer lace, Sexy String With Suspenders .This piece adds extra sexy look and feeling. Show yourself with dear-lover sexy intimates! Material: 100% polyester .;ONE;Sexy Strings;http://s22.postimg.org/9h2xd300x/SEXY_STRING_WITH_SUSPENDERS_LINGERIE_12_90.jpg
STRETCH LACE GARTER LINGERIE SET;€12,90;;Sexy Stretch lace garter lingerie set. NB! Stockings not included. Material: Polyester, Spandex. Color: black;ONE;Sexy Strings;http://s22.postimg.org/ba5u1el7l/STRETCH_LACE_GARTER_LINGERIE_SET_12_90.jpg
"STRING ""BUTTERFLY"", RED";€8,90;;Beautifully sequinned power net butterfly string with an open crotch for spontaneous adventures. Red. 100% polyester. ;S-L ;Sexy Strings;http://s22.postimg.org/bqvn1kych/STRING_BUTTERFLY_RED_8_90.jpg
"STRINGS ""BUTTERFLY"" BLACK";€8,90;;Decoration for your blossom! Beautifully sequinned power net butterfly string with an open crotch for spontaneous adventures.  Black. 100% polyester.;S-L ;Sexy Strings;http://s22.postimg.org/6qy6tmspt/STRINGS_BUTTERFLY_WHITE_8_90.jpg
"STRINGS ""BUTTERFLY"", WHITE";€8,90;;"Decoration for your blossom! Beautifully sequinned power net butterfly string with an open crotch for spontaneous adventures. 
White. 100% polyester.";S-L;Sexy Strings;http://s22.postimg.org/a95lca481/STRINGS_BUTTERFLY_BLACK_8_90.jpg
"STRINGS ""MY LOVELY BUTTERFLY"", PINK";€8,90;;"Crotchless rose-coloured string with a sequinned butterfly in the front.
Material: 100% polyester";S-L;Sexy Strings;http://s22.postimg.org/jkw8mz65d/STRINGS_MY_LOVELY_BUTTERFLY_PINK_8_90.jpg
WHITE C STRING;€9,90;;C String is made with great care to the best comfort wearing for customers. C string is a kind of sexual thong with C shape cover in front and a string back. This C String with crafted made of careful edge seam. ;ONE;Sexy Strings;http://s22.postimg.org/rewu8ddy9/WHITE_C_STRING_9_90.jpg
WICED NURSE G-STRING;€8,90;;Wiced nurse G-string with open crotch. Material: 100% Polyester;S-L;Sexy Strings;http://s22.postimg.org/wrlomi1up/WICED_NURSE_G_STRING_8_90.jpg
