;Product Name;Product Price;;;;;;
;LELO INSIGNIA LYLA, CERISE 119;119;;;;;;
;LELO IRIS, PINK 109;109;;;;;;
;LELO IRIS, DEEP ROSE 109.90.jpg;109.90;;;;;;
;LELO GIGI, PINK 99.jpg;99;;;;;;
;LELO NEA, DEEP ROSE 76.jpg;76;;;;;;
;LELO SIRI, PURPLE 76.jpg;76;;;;;;
;LELO ELISE, PINK 139.jpg;139;;;;;;
;LELO ELISE, PLUM 35.90.jpg;35.90;;;;;;
;LELO ELISE, PLUM  139.jpg;139;;;;;;
;LELO NEA, BLACK 74.jpg;74;;;;;;
;LELO SIRI, PINK 76.jpg;76;;;;;;
;SMART WAND LARGE PURPLE 139.jpg;139;;;;;;
;SMART WAND MEDIUM PURPLE 99.90.jpg;99.90;;;;;;
;LELO MONA, PURPLE 109.jpg;109.90;;;;;;
;LELO SORAYA, PURPLE 159.jpg;159;;;;;;
;LELO INSIGNIA LYLA, BLACK 119.jpg;119;;;;;;
;LELO INSIGNIA LYLA, DEEP ROSE 119.jpg;119;;;;;;
;LELO ELISE, BLACK 139.jpg;139;;;;;;
;LELO ALIA 89.90.jpg;89.90;;;;;;
;PERSONAL MOISTURIZER 75ML 11.jpg;11;;;;;;
;LELO MONA, RED 109.jpg;109;;;;;;
;LELO INA, PURPLE 129.jpg;129;;;;;;
;LELO LIV, CERISE 99.jpg;99;;;;;;
;LELO SORAYA, BLACK 155.jpg;155;;;;;;
;LELO SORAYA, CERISE 159.jpg;159;;;;;;
;LELO ISLA, BLACK 119.jpg;119;;;;;;
;lelo_yva_gold_lrg_1200.jpg;1200;;;;;;
;smart wand medium black 99.jpg;99;;;;;;
;LELO MIA LIPSTICK-SIZED VIBRATOR BLACK 54.jpg;54;;;;;;
;LELO NOA 79.jpg;79;;;;;;
;LELO ISLA, DEEP ROSE 119.jpg;119;;;;;;
;LELO GIGI, DEEP ROSE 99.jpg;99;;;;;;
;LELO TIANI 3, BLACK 129.jpg;129;;;;;;
;LELO TIANI 3, CERISE 129.jpg;129;;;;;;
;HULA BEADS, DEEP ROSE 129.jpg;129;;;;;;
;HULA BEADS, OCEAN BLUE 129.90.jpg;129.90;;;;;;
;LELO ORA - DEEP ROSE 129.90.jpg;129.90;;;;;;
;LELO ORA - BLACK 129.00.jpg;129;;;;;;
;LELO TOR2 - PURPLE 99.90.jpg;99.90;;;;;;
;LELO SIRI 2 99.90.jpg;99.90;;;;;;
;LELO GIGI 89.90.jpg;89.90;;;;;;
;LELO SMART WAND LARGE WHITE 145.jpeg;145;;;;;;
;LELO TARA, DEEP ROSE 119.jpg;119;;;;;;
;SMART WAND MEDIUM VALGE 109.jpg;109;;;;;;
;LELO TIANI 2 COUPLES VIBRATOR PINK 119.jpg;119;;;;;;
;LELO TIANI 2 COUPLES VIBRATOR BLACK 119.jpg;119;;;;;;
;LELO LUNA BEADS MINI 39.90.jpg;39.90;;;;;;
;LELO MIA LIPSTICK-SIZED VIBRATOR PINK €54.00.JPG;54;;;;;;
;LELO INA PERSONAL MASSAGER GREEN 129.00.jpg;129;;;;;;
;LELO BOB BLACK 36.90.jpg;36.90;;;;;;
;LELO BO RED 59.90.jpg;59.90;;;;;;
;LELO LUNA BEADS NOIR 34.90.jpg;34.90;;;;;;
;LELO TOR 2 BLACK 99.00.jpg;99.00;;;;;;
;Lelo Ida €159.00.jpg;159;;;;;;
;lelo-oden2-black-motion-control-couples-ring €139.00.jpg;139;;;;;;
;lelo-tara-black-waterproof-couples-sex-toy-with-g-spot-stimulation 119._1.jpg;119;;;;;;
;LELO INA WAVE - LILLA 119.90.jpg;119.90;;;;;;